train_number,train_name,source_station_code,destination_station_code
12194,Partapgarh Bhopal Superfast Express,PBH,BPL
12195,Agra Fort - Ajmer Express,AF,AII
12196,Ajmer-Agra Fort Express,AII,AF
53444,Bhagalpur Mandar Hill Passenger,BGP,MDLE
12176,Chambal Express,GWL,HWH
12179,Lucknow Agra Intercity Sf Express,LJN,AGC
12180,Agra Lucknow Intercity Sf Express,AGC,LJN
12190,Delhi H Nizamuddin - Jabalpur Mahakoshal Sf Exp,NZM,JBP
12191,Shridham Express,NDLS,JBP
12192,Jabalpur-New Delhi Superfast Express,JBP,NDLS
12197,Bhopal Gwalior Intercity Express,BPL,GWL
12198,Gwalior Bhopal Intercity Express,GWL,BPL
12201,Mumbai Ltt - Kochuveli Garib Rath Exp,LTT,KCVL
12202,Kochuveli - Mumbai Ltt Garib Rath Exp,KCVL,LTT
12203,Saharsa Amritsar Garib Rath,SHC,ASR
12204,Amritsar Saharsa Garib Rath,ASR,SHC
12205,New Delhi-Dehradun Ac Express,NDLS,DDN
12206,Dehradun-Newdelhi Ac Express,DDN,NDLS
12207,Kathgodam-Jammu Garib Rath Express,KGM,JAT
12208,Jammu-Kathgodam Garib Rath Express,JAT,KGM
12209,Kanpur-Kathgodam Garib Rath,CNB,KGM
12210,Kathgodam-Kanpur Garib Rath,KGM,CNB
12211,Muzaffarpur-Anand Vihar(T) Garib Rath Exp.,MFP,ANVT
12212,Anand Vihar T.- Muzaffarpur Garib Rath,ANVT,MFP
12213,Yeswantpur-Delhi Sarai Rohilla Ac Duronto Express,YPR,DEE
12214,Delhi Sarai Rohilla-Yesvantpur Ac Duronto Express,DEE,YPR
12215,Delhi Sarai Rohilla-Mumbai Bandrat Garib Rath,DEE,BDTS
12216,Mumbai Bandra T. - Delhi Sarai Rohilla Garib Rath,BDTS,DEE
12217,Kochuveli - Chandigarh Kerala Sampark Kranti Exp,KCVL,CDG
12218,Chandigarh - Kochuveli Kerala Sampark Kranti Exp,CDG,KCVL
12219,Lokmanya Tilak (T)-Secunderabad Ac Duronto Express,LTT,SC
12220,Secunderabad-Mumbai Ltt Ac Duronto Express,SC,LTT
12222,Howrah - Pune Ac Duronto Exp,HWH,PUNE
12223,Mum Ltt - Ernakulam Ac Duronto,LTT,ERS
12224,Ernakulam - Mum Ltt Ac Duronto,ERS,LTT
12225,Kaifiat Express,AMH,DLI
12226,Kaifiat Express,DLI,AMH
12228,Indore- Mumbai Central Duronto Express,INDB,BCT
12229,Lucknow Mail,LKO,NDLS
12230,Lucknow Mail,NDLS,LKO
12231,Lucknow-Chandigarh Express,LKO,CDG
12232,Chandigarh - Lucknow Sadhbhavna Sf Express,CDG,LKO
12233,Lucknow New Delhi Ac Express,LKO,NDLS
12239,Mumbai Central Jaipur Ac Duronto Express,BCT,JP
12260,New Delhi-Sealdah Ac Duronto Express,NDLS,SDAH
12271,Lucknow-New Delhi Ac Duronto Express,LKO,NDLS
12273,Howrah-New Delhi Duronto Express,HWH,NDLS
12274,New Delhi-Howrah Duronto Express,NDLS,HWH
40029,Chennai Beach Tambaramemu (12 Car),MSB,TBM
56394,Kollam Kottayam Passenger,QLN,KTYM
12234,Newdelhi-Lucknow Ac Express,NDLS,LKO
12235,Dibrugarh - New Delhi Rajdhani Exp,DBRG,NDLS
12236,New Delhi - Dibrugarh Rajdhani Exp,NDLS,DBRG
12237,Varanasi-Jammu Tawi Sf Express,BSB,JAT
12238,Jammu-Varanasi Sf Express,JAT,BSB
12241,Chandigarh-Amritsar Duronto Express,CDG,ASR
12242,Amritsar-Chandigarh Duronto Express,ASR,CDG
12243,Chennai Central-Coimbatore Ac Duronto Express,MAS,CBE
12244,Coimbatore-Chennai Central Ac Duronto Express,CBE,MAS
12245,Howrah - Yesvantpur Ac Duronto Exp,HWH,YPR
12251,Wainganga Express,YPR,KRBA
12252,Wainganga Express,KRBA,YPR
